IP Rack Biznet:

Mini PC
103.39.69.130 MP33
103.39.69.131 MP34
103.39.69.134 MP37
103.39.69.135 MP38
103.39.69.137 MP40
103.39.69.139 MP42
103.39.69.140 MP43
103.39.69.141 MP44
103.39.69.142 MP45
103.39.69.143 MP46
103.39.69.144 MP47
103.39.69.145 MP48
103.39.69.146 MP49
103.39.69.148 MP51
103.39.69.150 MP54
103.39.69.151 MP55
103.39.69.152 MP56
103.39.69.153 MP57
103.39.69.155 MP59
103.39.69.156 MP60
103.39.69.158 MP108
103.39.69.200 MP35
103.39.69.201 MP36
103.39.69.202 MP39
103.39.69.203 MP50
103.39.69.204 MP61
103.39.69.205 MP109
103.39.69.233 MP41
103.39.69.234 MP52
103.39.69.235 MP58
103.39.69.236 MP111

PC
103.39.69.164 PC076
103.39.69.165 PC075
103.39.69.167 PC012
103.39.69.168 PC036
103.39.69.172 PC068
103.39.69.173 PC065
103.39.69.174 PC031
103.39.69.175 PC033
103.39.69.176 PC021
103.39.69.177 PC062
103.39.69.206 PC078
103.39.69.238 PC058
103.39.69.239 PC050
103.39.69.240 PC057

IP Rack12 Herza:

103.168.147.34 MP62
103.168.147.35 MP63
103.168.147.36 MP64
103.168.147.38 MP65
103.173.75.67  MP66
103.173.75.68  MP67
103.173.75.69  MP114
103.173.75.72  MP98
103.173.75.73  MP68
103.173.75.74  MP95
103.173.75.75  MP69
103.173.75.76  MP91
103.173.75.85  MP97
103.173.75.86  MP102
103.173.75.92  MP70
103.173.75.94  MP71
103.173.75.95  MP72
103.173.75.103 MP94
103.173.75.105 MP73
103.173.75.106 MP74
103.173.75.107 MP75
103.173.75.108 MP88
103.173.75.109 MP76
103.173.75.110 MP77
103.173.75.111 MP105
103.173.75.112 MP99
103.173.75.113 MP100
103.173.75.114 MP101
103.173.75.120 MP104
103.173.75.121 MP78
103.173.75.123 MP106
103.173.75.125 MP103
103.173.75.126 MP79
103.173.75.131 MP80
103.173.75.132 MP90
103.173.75.133 MP92
103.173.75.134 MP93
103.173.75.135 MP81
103.173.75.136 MP82
103.173.75.137 MP83
103.173.75.138 MP84
103.173.75.139 MP85
103.173.75.140 MP86
103.173.75.141 MP87

PC Gateway
103.173.75.96  PC37

PC
103.173.75.97  PC_008
103.173.75.98  PC_006
103.173.75.99  PC_030
103.173.75.100 PC_003
103.173.75.101 PC_001
